round,acc,t_round_s,n_malicious
0,0.1953,26.41651519999141,6
1,0.2184,25.80948409999837,6
2,0.2497,26.161520599998767,6
3,0.2432,26.096986799995648,6
4,0.2602,26.104086100007407,6
5,0.2995,26.318873800017172,6
6,0.3576,26.277183099999093,6
7,0.4288,26.295616799994605,6
8,0.4652,26.345392899995204,6
9,0.4435,26.206495300022652,6
10,0.3451,26.349285700009204,6
11,0.2313,26.304985800001305,6
12,0.1283,26.141794199997094,6
13,0.1927,26.38186239998322,6
14,0.1,26.347967800014885,6
15,0.1038,26.365942400007043,6
16,0.1,26.09155360001023,6
17,0.1,26.39708010002505,6
18,0.1,26.028983199998038,6
19,0.1,26.4890907999943,6
20,0.1,26.315786600025604,6
21,0.1,26.803536799998255,6
22,0.1,26.277431399998022,6
23,0.1,26.52044449999812,6
24,0.1,26.324857100000372,6
25,0.1,26.52858980000019,6
26,0.1,26.18245609998121,6
27,0.1,26.133938799990574,6
28,0.1,26.441611299989745,6
29,0.1,26.283154799981276,6
