round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon,asr
0,0.1,19.59825599999749,9,0,0,7,2,2,0.444,0.095,1.0
1,0.1833,19.57132270000875,9,0,0,8,0,0,0.222,0.048,0.7524444444444445
2,0.2462,18.626623799995286,9,0,0,6,3,1,0.222,0.143,0.7044444444444444
3,0.274,18.804142599983606,9,0,0,7,4,2,0.25,0.214,0.6251111111111111
4,0.3036,18.52413639999577,9,0,0,7,2,0,0.2,0.229,0.9781111111111112
5,0.3446,17.99818180000875,9,0,0,7,2,2,0.222,0.214,0.8624444444444445
6,0.3562,18.129470699990634,9,0,0,7,6,5,0.286,0.265,0.8944444444444445
7,0.3715,18.337152899999637,9,0,0,5,4,3,0.319,0.274,0.9327777777777778
8,0.3806,18.152691000024788,9,0,0,7,6,4,0.346,0.312,0.969
9,0.4225,18.08114990001195,9,0,0,8,1,1,0.322,0.29,0.9365555555555556
10,0.3858,17.891147500020452,9,0,0,5,5,2,0.333,0.312,0.9618888888888889
11,0.4344,18.61484730002121,9,0,0,9,0,0,0.306,0.286,0.9444444444444444
12,0.4373,18.454672299994854,9,0,0,7,1,1,0.291,0.271,0.9507777777777778
13,0.4643,19.85229619999882,9,0,0,7,2,1,0.278,0.269,0.9624444444444444
14,0.4747,17.891150000010384,9,0,0,7,6,4,0.304,0.289,0.9482222222222222
15,0.4646,18.92399170002318,9,0,0,7,3,2,0.306,0.289,0.9422222222222222
16,0.487,18.133960800012574,9,0,0,8,3,3,0.307,0.289,0.9557777777777777
17,0.4761,17.88341379998019,9,0,0,5,2,0,0.29,0.288,0.9623333333333334
18,0.4869,17.93594490000396,9,0,0,7,4,3,0.298,0.293,0.9451111111111111
19,0.4844,18.206680100003723,9,0,0,6,1,1,0.289,0.283,0.9535555555555556
20,0.4993,17.752780400012853,9,0,0,7,3,1,0.28,0.288,0.9571111111111111
21,0.5089,18.0784954999981,9,0,0,6,3,2,0.283,0.288,0.955
22,0.5183,18.133024399983697,9,0,0,5,5,2,0.285,0.3,0.9483333333333334
23,0.527,17.77929080001195,9,0,0,5,4,3,0.296,0.302,0.9547777777777777
24,0.5236,18.102665699989302,9,0,0,8,1,0,0.284,0.295,0.95
25,0.5289,17.944691500015324,9,0,0,8,3,2,0.282,0.297,0.9606666666666667
26,0.5441,17.73581860002014,9,0,0,7,2,2,0.28,0.293,0.95
27,0.5308,17.934970600006636,9,0,0,6,3,2,0.278,0.294,0.9538888888888889
28,0.5454,17.789741999993566,9,0,0,8,1,1,0.272,0.287,0.9553333333333334
29,0.5472,17.802054900006624,9,0,0,8,2,1,0.267,0.286,0.9556666666666667
