round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon,asr
0,0.1,18.02896039999905,9,0,0,6,3,1,0.111,0.381,1.0
1,0.1013,17.510528700004215,9,0,0,7,4,3,0.333,0.357,1.0
2,0.214,17.625614899996435,9,0,0,7,1,1,0.333,0.238,0.8497777777777777
3,0.2424,17.61594530000002,9,0,0,5,4,3,0.417,0.25,0.7776666666666666
4,0.2842,17.800304999997024,9,0,0,6,4,3,0.467,0.257,0.5123333333333333
5,0.3211,17.780993699998362,9,0,0,6,3,3,0.481,0.246,0.7203333333333334
6,0.3602,17.774457099993015,9,0,0,7,2,1,0.429,0.245,0.9675555555555555
7,0.3759,18.133281500005978,9,0,0,6,1,0,0.375,0.232,0.9578888888888889
8,0.3943,17.76558410000871,9,0,0,7,3,2,0.358,0.243,0.95
9,0.3804,17.655256900005043,9,0,0,7,5,3,0.367,0.271,0.9713333333333334
10,0.3828,17.99255369999446,9,0,0,7,3,1,0.343,0.281,0.9637777777777777
11,0.3658,17.7139720999985,9,0,0,8,6,6,0.38,0.302,0.8964444444444445
12,0.4358,17.74942920000467,9,0,0,7,2,2,0.368,0.293,0.9563333333333334
13,0.4373,17.8124250999972,9,0,0,7,5,2,0.357,0.316,0.9785555555555555
14,0.4541,17.753233099996578,9,0,0,8,3,2,0.348,0.317,0.9732222222222222
15,0.4621,17.81646329999785,9,0,0,7,1,1,0.333,0.304,0.9543333333333334
16,0.4801,18.01362899999367,9,0,0,7,2,2,0.327,0.297,0.9563333333333334
17,0.4752,17.53021140000783,9,0,0,8,1,1,0.315,0.286,0.9626666666666667
18,0.4895,17.970752499997616,9,0,0,8,1,1,0.304,0.276,0.952
19,0.4732,17.678236599997035,9,0,0,6,6,3,0.311,0.295,0.9652222222222222
20,0.4855,17.771878499988816,9,0,0,8,4,3,0.312,0.302,0.9733333333333334
21,0.4751,17.81905179999012,9,0,0,6,4,3,0.323,0.303,0.949
22,0.4788,17.842270199995255,9,0,0,6,4,3,0.333,0.304,0.9697777777777777
23,0.4853,17.75772870000219,9,0,0,7,5,4,0.343,0.312,0.9526666666666667
24,0.5073,17.92126800000551,9,0,0,7,3,1,0.338,0.312,0.966
25,0.4946,17.72810560000653,9,0,0,7,6,5,0.346,0.324,0.9584444444444444
26,0.5019,17.641577200003667,9,0,0,6,5,3,0.358,0.328,0.9503333333333334
27,0.506,17.880785000001197,9,0,0,6,7,5,0.373,0.34,0.9365555555555556
28,0.5307,17.74659840000095,9,0,0,8,6,6,0.387,0.346,0.9535555555555556
29,0.5305,17.72082250000676,9,0,0,9,3,3,0.385,0.344,0.9581111111111111
