round,acc,t_round_s,n_malicious,asr
0,0.1021,17.052091599995038,3,0.9876666666666667
1,0.271,16.749622400006047,3,0.18888888888888888
2,0.2912,16.751160599989817,3,0.23044444444444445
3,0.3125,16.514773800008697,3,0.17744444444444443
4,0.3312,16.78016990001197,3,0.14655555555555555
5,0.359,16.547406900004717,3,0.132
6,0.3654,16.611448599986034,3,0.16166666666666665
7,0.3941,16.804855100024724,3,0.10655555555555556
8,0.3993,16.464379400014877,3,0.1711111111111111
9,0.4181,16.531627699994715,3,0.11055555555555556
10,0.4352,16.78416589999688,3,0.13577777777777778
11,0.4469,16.537584800011246,3,0.1847777777777778
12,0.4583,17.548177300021052,3,0.20166666666666666
13,0.4612,16.81879900000058,3,0.23033333333333333
14,0.4708,16.650196200003847,3,0.24122222222222223
15,0.477,16.665483199991286,3,0.31933333333333336
16,0.4884,16.794178999989526,3,0.315
17,0.487,16.53278790001059,3,0.41233333333333333
18,0.5016,16.636931299988646,3,0.43222222222222223
19,0.5051,16.776373000000603,3,0.493
20,0.5083,16.489060599997174,3,0.5181111111111111
21,0.5182,16.472137899982044,3,0.5175555555555555
22,0.5223,16.747080799977994,3,0.5965555555555555
23,0.5315,16.63917459998629,3,0.6351111111111111
24,0.5327,16.460511400015093,3,0.6394444444444445
25,0.5315,16.669079799990868,3,0.6738888888888889
26,0.5426,16.52829639997799,3,0.7185555555555555
27,0.5434,16.63609970000107,3,0.7184444444444444
28,0.5523,16.72208090001368,3,0.7371111111111112
29,0.5559,16.450431500008563,3,0.7447777777777778
