round,acc,t_round_s,n_malicious
0,0.1929,17.803807100019185,2
1,0.2171,17.26915929999086,2
2,0.2427,17.216457999980776,2
3,0.2513,18.02220489998581,2
4,0.2945,18.116064900008496,2
5,0.3189,17.976865200005705,2
6,0.3378,17.864290299999993,2
7,0.3649,17.210618200013414,2
8,0.3827,16.855189099995187,2
9,0.3833,16.754898300016066,2
10,0.3851,16.890844000008656,2
11,0.426,17.18626410001889,2
12,0.4158,16.183162700006505,2
13,0.4409,16.23193400001037,2
14,0.4368,17.33334489999106,2
15,0.4502,16.877934299991466,2
16,0.451,17.43655270000454,2
17,0.468,17.339502399991034,2
18,0.4657,16.587105000013253,2
19,0.4782,16.794475699978648,2
20,0.4774,16.75350210000761,2
21,0.4918,17.3025467999978,2
22,0.4902,16.969107600016287,2
23,0.4998,16.66369649997796,2
24,0.5014,17.320241500012344,2
25,0.5083,17.99180499999784,2
26,0.5084,16.943457599991234,2
27,0.5171,17.64684010000201,2
28,0.5222,19.127293500001542,2
29,0.5188,17.227579900005367,2
