baseline,n_pairs,cbsafe_mean,base_mean,mean_gain,t_p,wilcoxon_p,t_p_holm
mean,21,0.6607,0.1774,0.4833,0.0,0.0,0.0
trimmed,12,0.5164,0.2276,0.2888,0.00018,0.00049,0.00036
median,21,0.6607,0.2833,0.3774,1e-05,0.0,3e-05
krum,21,0.6607,0.542,0.1187,0.00899,0.00488,0.00899
