round,acc,t_round_s,n_malicious
0,0.1,21.884586700005457,3
1,0.1424,21.54348230001051,3
2,0.1895,21.66744460001064,3
3,0.2202,21.064100799994776,3
4,0.2325,21.378746799993678,3
5,0.2485,21.273893699995824,3
6,0.2691,39.35697040001105,3
7,0.2927,40.19395000000077,3
8,0.3007,39.20461800000339,3
9,0.3001,38.05282389999775,3
10,0.326,37.21955490000255,3
11,0.3275,37.22615419999056,3
12,0.3313,36.73390209999343,3
13,0.3497,36.57977769999707,3
14,0.3503,36.119424999997136,3
15,0.369,35.84188389999326,3
16,0.3782,36.054443300003186,3
17,0.3831,35.43653320000158,3
18,0.3914,35.29078609999851,3
19,0.3928,35.46393060000264,3
20,0.4068,35.22582880000118,3
21,0.4,34.886707300000126,3
22,0.4144,35.14801440000883,3
23,0.4177,35.25467369999387,3
24,0.4182,34.97559619999083,3
25,0.4286,35.054839100004756,3
26,0.4219,35.22360739999567,3
27,0.4282,34.78968359999999,3
28,0.437,34.90989090000221,3
29,0.452,34.78371620000689,3
