round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon,asr
0,0.1,17.625602700019954,6,0,0,5,1,1,0.333,0.042,1.0
1,0.2584,17.49824400001671,6,0,0,5,1,1,0.333,0.042,0.1797777777777778
2,0.2129,17.609206300025107,6,0,0,5,2,0,0.222,0.111,0.93
3,0.2837,17.440666999988025,6,0,0,6,3,2,0.25,0.156,0.12077777777777778
4,0.2904,17.63587070000358,6,0,0,6,2,0,0.2,0.175,0.982
5,0.345,17.475953799992567,6,0,0,5,1,0,0.167,0.167,0.5961111111111111
6,0.3502,17.62066909999703,6,0,0,5,6,3,0.238,0.226,0.8626666666666667
7,0.3562,17.62242519998108,6,0,0,4,3,2,0.271,0.229,0.7856666666666666
8,0.3926,17.505741000000853,6,0,0,5,4,2,0.296,0.245,0.878
9,0.4045,17.601884700008668,6,0,0,6,2,2,0.3,0.238,0.9011111111111111
10,0.3915,17.636200999986613,6,0,0,6,7,5,0.348,0.277,0.9054444444444445
11,0.4327,17.465715499973157,6,0,0,6,2,2,0.347,0.267,0.8743333333333333
12,0.4248,17.64952330000233,6,0,0,5,2,2,0.359,0.256,0.9112222222222223
13,0.4685,17.597259400004987,6,0,0,5,2,1,0.345,0.253,0.933
14,0.4707,17.6785133999947,6,0,0,4,5,2,0.344,0.272,0.9277777777777778
15,0.4763,18.145049999991897,6,0,0,5,2,1,0.344,0.266,0.9168888888888889
16,0.4744,17.945165499986615,6,0,0,5,1,0,0.324,0.257,0.9416666666666667
17,0.485,17.545368400024017,6,0,0,6,2,2,0.324,0.252,0.9228888888888889
18,0.505,17.761105900019174,6,0,0,5,3,1,0.316,0.257,0.9457777777777778
19,0.4849,17.683688999997685,6,0,0,4,1,0,0.3,0.25,0.9424444444444444
20,0.507,17.818922200007364,6,0,0,5,2,0,0.286,0.25,0.9406666666666667
21,0.5053,17.888783200003672,6,0,0,6,2,0,0.273,0.25,0.949
22,0.5096,17.734088700002758,6,0,0,6,2,1,0.268,0.248,0.9325555555555556
23,0.5182,17.849004199990304,6,0,0,6,3,2,0.271,0.25,0.9468888888888889
24,0.5148,17.80981450001127,6,0,0,5,1,1,0.267,0.243,0.9353333333333333
25,0.5337,17.606085600011284,6,0,0,5,4,3,0.276,0.248,0.9386666666666666
26,0.5246,17.89841069999966,6,0,0,5,3,2,0.278,0.25,0.9411111111111111
27,0.52,17.709260500007076,6,0,0,5,4,2,0.28,0.256,0.9391111111111111
28,0.543,17.67221060002339,6,0,0,5,1,1,0.276,0.25,0.9428888888888889
29,0.5398,17.80307249998441,6,0,0,6,3,3,0.283,0.25,0.9381111111111111
