round,acc,t_round_s,n_malicious,asr
0,0.1,17.178007600014098,9,1.0
1,0.1013,17.064630700013367,9,1.0
2,0.2253,17.67749850000837,9,0.6502222222222223
3,0.2353,17.67929119998007,9,0.6892222222222222
4,0.2715,17.541529400012223,9,0.804
5,0.2723,17.371765400021104,9,0.9431111111111111
6,0.3268,17.711057600012282,9,0.9641111111111111
7,0.3426,17.668491599994013,9,0.9801111111111112
8,0.3809,17.74100310000358,9,0.9872222222222222
9,0.3731,17.736155199992936,9,0.9746666666666667
10,0.412,18.957772100024158,9,0.9755555555555555
11,0.4116,17.856561099993996,9,0.985
12,0.4122,17.959313600003952,9,0.9798888888888889
13,0.4301,17.95983380000689,9,0.9728888888888889
14,0.4248,18.032575899997028,9,0.9824444444444445
15,0.4493,17.95821059998707,9,0.9815555555555555
16,0.4601,18.265302399988286,9,0.9725555555555555
17,0.4611,18.16676130000269,9,0.9765555555555555
18,0.4726,18.37225730001228,9,0.9787777777777777
19,0.475,18.15497800000594,9,0.9742222222222222
20,0.4817,18.34962260001339,9,0.9764444444444444
21,0.4888,18.873587600013707,9,0.975
22,0.4953,21.40099980001105,9,0.9775555555555555
23,0.4977,20.68673350001336,9,0.9715555555555555
24,0.5072,18.602395399997476,9,0.976
25,0.5135,18.467199800012168,9,0.9741111111111111
26,0.5125,18.299684700003127,9,0.9742222222222222
27,0.5217,18.509518300008494,9,0.9725555555555555
28,0.5249,18.66622849999112,9,0.9742222222222222
29,0.5286,18.385054599988507,9,0.977
