round,acc,t_round_s,n_malicious
0,0.1456,35.27047230000608,3
1,0.1888,32.51362389999849,3
2,0.2191,26.413967300002696,3
3,0.2642,26.474317700005486,3
4,0.2979,26.738518099999055,3
5,0.3187,27.192023299998255,3
6,0.3603,27.20636999999988,3
7,0.3652,26.8767380000063,3
8,0.3783,26.779470499997842,3
9,0.3919,26.66774840001017,3
10,0.4149,26.642988299994613,3
11,0.4106,26.555500200003735,3
12,0.4316,26.46107600000687,3
13,0.4409,26.593392399998265,3
14,0.4485,26.85326350000105,3
15,0.4601,27.120628699994995,3
16,0.4653,26.489715100004105,3
17,0.4807,26.364393200012273,3
18,0.4791,26.562120899994625,3
19,0.4876,27.182257499996922,3
20,0.4898,26.335993500004406,3
21,0.4965,26.43301409999549,3
22,0.5075,25.480386099996394,3
23,0.5113,20.21272520000639,3
24,0.5119,21.07073500000115,3
25,0.5227,23.779884100003983,3
26,0.5249,25.407250400006888,3
27,0.5255,22.82347160000063,3
28,0.5349,21.300694100005785,3
29,0.5383,22.35480319999624,3
