round,acc,t_round_s,n_malicious,asr
0,0.1,17.670339700009208,9,1.0
1,0.2541,17.580950399977155,9,0.2121111111111111
2,0.1867,17.577931499981787,9,0.7977777777777778
3,0.3045,17.48892460000934,9,0.16455555555555557
4,0.3035,17.558126400021138,9,0.3801111111111111
5,0.344,17.547392000007676,9,0.27011111111111114
6,0.3455,17.630360199982533,9,0.5107777777777778
7,0.3818,17.768509399989853,9,0.3188888888888889
8,0.3956,17.76051340001868,9,0.5324444444444445
9,0.4112,17.67197539997869,9,0.5277777777777778
10,0.4285,18.05402739997953,9,0.787
11,0.4362,17.64990140000009,9,0.8881111111111111
12,0.4549,17.27184679999482,9,0.9222222222222223
13,0.4496,17.08120169999893,9,0.8985555555555556
14,0.4648,18.065604999981588,9,0.9301111111111111
15,0.4733,18.942709599999944,9,0.9264444444444444
16,0.4781,18.721839800011367,9,0.9275555555555556
17,0.4807,18.46306270000059,9,0.9381111111111111
18,0.492,18.174525999987964,9,0.9336666666666666
19,0.4918,18.724813599983463,9,0.939
20,0.4989,19.219969800004037,9,0.936
21,0.5029,18.42834389998461,9,0.9336666666666666
22,0.5092,18.228635599982226,9,0.9443333333333334
23,0.5152,18.63544500002172,9,0.9401111111111111
24,0.5138,19.096303199999966,9,0.9417777777777778
25,0.5172,18.039722099987557,9,0.9504444444444444
26,0.5251,17.596317399991676,9,0.9474444444444444
27,0.5245,18.57704730000114,9,0.9462222222222222
28,0.5366,17.944753299991135,9,0.948
29,0.5372,17.9578319999855,9,0.9495555555555556
