round,acc,t_round_s,n_malicious,asr
0,0.1,16.894894800003385,9,1.0
1,0.2313,16.43258349999087,9,0.5775555555555556
2,0.2021,16.827318399999058,9,0.9555555555555556
3,0.3116,16.614285299991025,9,0.5525555555555556
4,0.3108,16.61017949998495,9,0.9557777777777777
5,0.3581,16.95000350000919,9,0.9016666666666666
6,0.3636,16.581096900015837,9,0.9722222222222222
7,0.3946,16.621939000004204,9,0.9464444444444444
8,0.4012,16.817689599993173,9,0.9596666666666667
9,0.4199,16.595815799984848,9,0.9498888888888889
10,0.4377,16.64116389999981,9,0.9468888888888889
11,0.4468,16.875864400004502,9,0.951
12,0.4598,16.712452899984783,9,0.9557777777777777
13,0.4649,16.73755180000444,9,0.9516666666666667
14,0.4763,16.897099199995864,9,0.9386666666666666
15,0.4835,16.782648499996867,9,0.9525555555555556
16,0.4889,16.7371219000197,9,0.9474444444444444
17,0.4959,16.97720529997605,9,0.951
18,0.5063,16.894248799973866,9,0.9497777777777778
19,0.5118,16.67973009997513,9,0.9566666666666667
20,0.5136,17.029180000012275,9,0.9463333333333334
21,0.5215,16.70649919999414,9,0.9497777777777778
22,0.5258,16.517412399989553,9,0.953
23,0.5338,16.960554899997078,9,0.9545555555555556
24,0.5317,16.735151300003054,9,0.9525555555555556
25,0.5345,16.546670799987623,9,0.9554444444444444
26,0.5459,16.87216499997885,9,0.954
27,0.547,16.77126710000448,9,0.9537777777777777
28,0.5546,16.637352899997495,9,0.9547777777777777
29,0.5568,16.784233899990795,9,0.9534444444444444
