round,acc,t_round_s,n_malicious
0,0.1483,18.034719300019788,2
1,0.212,16.736247699998785,2
2,0.223,16.91420189998462,2
3,0.2187,17.47415930000716,2
4,0.2447,18.63280400002259,2
5,0.2592,17.83922930000699,2
6,0.2774,17.68036570001277,2
7,0.2888,17.474869800003944,2
8,0.3056,17.82459689999814,2
9,0.32,17.63602190001984,2
10,0.3322,17.265134699991904,2
11,0.3731,17.033356800006004,2
12,0.3668,17.357820700010052,2
13,0.3939,17.198797999997623,2
14,0.3964,17.052728700014995,2
15,0.4068,17.184901299973717,2
16,0.4059,17.567611299979035,2
17,0.4185,17.655212500016205,2
18,0.4288,17.17782779998379,2
19,0.4424,17.48075570000219,2
20,0.4442,17.423305000003893,2
21,0.4492,17.441241499996977,2
22,0.4485,17.444576299982145,2
23,0.4561,17.454916199989384,2
24,0.4597,16.95624339999631,2
25,0.4664,17.23738370000501,2
26,0.4626,17.48911200001021,2
27,0.4721,17.257997399981832,2
28,0.4794,17.410099000000628,2
29,0.4764,17.56026299999212,2
