round,acc,t_round_s,n_malicious
0,0.1867,17.11049190000631,3
1,0.2173,17.301611200004118,3
2,0.2457,17.137847399979364,3
3,0.245,16.85369139999966,3
4,0.2922,16.943023200001335,3
5,0.3108,16.38410989998374,3
6,0.3209,17.061898599989945,3
7,0.3369,16.47295049999957,3
8,0.3597,16.693833900004392,3
9,0.3693,16.16219239999191,3
10,0.379,15.619373699999414,3
11,0.4099,15.54367679997813,3
12,0.402,15.954892699985066,3
13,0.4174,16.007573099981528,3
14,0.4179,17.0477733000007,3
15,0.4408,16.848518799990416,3
16,0.4315,17.32211300000199,3
17,0.4484,15.952835600008257,3
18,0.4457,15.382773300021654,3
19,0.4566,16.142711399996188,3
20,0.4589,16.130811099981656,3
21,0.4728,15.861325099976966,3
22,0.4745,16.03894170001149,3
23,0.4857,16.215431999997236,3
24,0.4801,16.236628999991808,3
25,0.4958,16.43288790000952,3
26,0.4851,16.442403599998215,3
27,0.4999,16.797113499982515,3
28,0.5057,16.54494990000967,3
29,0.4994,16.755665000004228,3
