round,acc,t_round_s,n_malicious,asr
0,0.1421,29.407907500004512,6,0.0
1,0.1881,29.030612799993833,6,0.6967777777777778
2,0.2284,28.568019499987713,6,0.28644444444444445
3,0.2509,28.820917000004556,6,0.41055555555555556
4,0.2981,28.47549509999226,6,0.41744444444444445
5,0.3036,28.71501850000641,6,0.47444444444444445
6,0.3478,28.340897599991877,6,0.5255555555555556
7,0.3578,28.524361599993426,6,0.6842222222222222
8,0.3916,28.911545199996908,6,0.7202222222222222
9,0.4013,28.511627300002147,6,0.7973333333333333
10,0.4117,28.44629609999538,6,0.8321111111111111
11,0.4225,28.4041137000022,6,0.8636666666666667
12,0.4295,28.6460315999866,6,0.8755555555555555
13,0.4414,28.807184299992514,6,0.888
14,0.4433,28.891774900010205,6,0.8917777777777778
15,0.449,28.460961300006602,6,0.9025555555555556
16,0.4584,28.673433699994348,6,0.8903333333333333
17,0.4663,28.73081930000626,6,0.915
18,0.4713,29.084040899993852,6,0.908
19,0.4758,28.850395399989793,6,0.907
20,0.4813,28.904249600003823,6,0.9032222222222223
21,0.4875,28.738730299999588,6,0.9225555555555556
22,0.4912,28.77478880000126,6,0.9123333333333333
23,0.5014,28.71023409999907,6,0.9247777777777778
24,0.5,28.623982699995395,6,0.9166666666666666
25,0.5055,29.0942681000015,6,0.9237777777777778
26,0.513,28.71269509999547,6,0.9205555555555556
27,0.5153,28.606134100002237,6,0.9274444444444444
28,0.5217,28.65473419999762,6,0.9234444444444444
29,0.5246,28.789529700006824,6,0.927
