round,acc,t_round_s,n_malicious,asr
0,0.1,18.937913200003095,9,1.0
1,0.1609,18.509446600015508,9,0.838
2,0.1832,18.675221299985424,9,0.8026666666666666
3,0.2692,18.5784377999953,9,0.6072222222222222
4,0.3128,18.691269600007217,9,0.9668888888888889
5,0.322,18.705297999986215,9,0.9004444444444445
6,0.3619,18.372951800003648,9,0.9797777777777777
7,0.3787,18.75371049999376,9,0.9723333333333334
8,0.4053,18.615843400009908,9,0.985
9,0.4107,18.542636099999072,9,0.9696666666666667
10,0.4339,18.640739399997983,9,0.9736666666666667
11,0.4405,18.727709699975094,9,0.9742222222222222
12,0.4549,18.670597599993926,9,0.9723333333333334
13,0.4619,18.62967789999675,9,0.972
14,0.4687,18.53881110000657,9,0.972
15,0.4768,18.656604099989636,9,0.9744444444444444
16,0.4823,18.753500999999233,9,0.9727777777777777
17,0.4887,18.398630600015167,9,0.9701111111111111
18,0.4963,18.767664300015895,9,0.9724444444444444
19,0.5015,18.51131119998172,9,0.9707777777777777
20,0.5056,18.684923399996478,9,0.972
21,0.5139,18.809182500001043,9,0.9712222222222222
22,0.5155,18.384392300009495,9,0.972
23,0.5236,18.90790239998023,9,0.9696666666666667
24,0.5288,18.239616599981673,9,0.9722222222222222
25,0.5348,18.538116400013678,9,0.968
26,0.5366,18.491447900014464,9,0.9734444444444444
27,0.5424,21.73045760000241,9,0.9672222222222222
28,0.5456,20.244479799992405,9,0.9728888888888889
29,0.5478,18.27340939998976,9,0.9698888888888889
