round,acc,t_round_s,n_malicious
0,0.1459,16.19293770000513,3
1,0.2372,15.410639800000354,3
2,0.2757,15.360715499991784,3
3,0.287,15.83501479998813,3
4,0.3222,15.779309299992747,3
5,0.3501,15.436986999993678,3
6,0.3597,15.493198199998005,3
7,0.3857,15.56998410000233,3
8,0.3901,15.7784726999962,3
9,0.409,15.611258999997517,3
10,0.4168,15.362463099998422,3
11,0.4307,15.592355600005249,3
12,0.4325,16.042300600005547,3
13,0.4531,15.41607939999085,3
14,0.4558,15.407560900013777,3
15,0.4731,15.719616499991389,3
16,0.4698,15.727879300000495,3
17,0.4806,15.63162509999529,3
18,0.4837,15.506134899987956,3
19,0.4928,15.752747199992882,3
20,0.4951,15.799377400006051,3
21,0.5051,15.516555300011532,3
22,0.513,15.466219399997499,3
23,0.5172,15.754129900000407,3
24,0.5237,15.806154100006097,3
25,0.5219,15.530331799993291,3
26,0.5246,15.47985940000217,3
27,0.5288,15.783891200000653,3
28,0.538,15.950275600000168,3
29,0.5392,15.513707899997826,3
