round,acc,t_round_s,n_malicious
0,0.1,28.996997499998542,3
1,0.1338,27.956226899987087,3
2,0.1577,28.116685500004678,3
3,0.2011,29.064563899999484,3
4,0.2233,28.237220099996193,3
5,0.2404,28.11867299998994,3
6,0.2514,28.11104350000096,3
7,0.2604,28.268347999997786,3
8,0.2746,29.034013500000583,3
9,0.28,28.362103999999817,3
10,0.3023,28.304854799993336,3
11,0.3169,28.714804699993692,3
12,0.3197,30.80123199999798,3
13,0.3384,36.437898399992264,3
14,0.3414,34.00120109999261,3
15,0.3488,36.28568050000467,3
16,0.3534,35.656496499999776,3
17,0.3717,37.335789500008104,3
18,0.3756,38.72635720000835,3
19,0.3815,37.2817117000086,3
20,0.3912,36.3914342999924,3
21,0.379,37.88130369999271,3
22,0.4016,36.85479330000817,3
23,0.4007,35.43379699999059,3
24,0.4025,25.55619210000441,3
25,0.4138,21.32198010000866,3
26,0.4128,21.515493699989747,3
27,0.4171,21.420337400006247,3
28,0.4269,21.061604300004547,3
29,0.4306,21.401819499995327,3
