round,acc,t_round_s,n_malicious
0,0.1195,17.876852099987445,3
1,0.2074,17.5146940999839,3
2,0.2254,17.255812100018375,3
3,0.2613,17.242337799980305,3
4,0.2775,17.38989419999416,3
5,0.3091,17.477247700007865,3
6,0.3367,17.46124500001315,3
7,0.3586,17.441873000003397,3
8,0.3705,17.218199599999934,3
9,0.3836,17.289706900017336,3
10,0.3902,17.470539500005543,3
11,0.4061,17.379909099981887,3
12,0.4021,17.276809600007255,3
13,0.4168,17.313358199986396,3
14,0.4145,17.426240200002212,3
15,0.4379,17.298721200000728,3
16,0.4415,17.30470919999061,3
17,0.4444,17.4314012999821,3
18,0.4484,17.410367299977224,3
19,0.4553,17.254954700008966,3
20,0.467,17.54565859999275,3
21,0.4623,17.466738799994346,3
22,0.4719,17.217953300016234,3
23,0.4758,17.356232099991757,3
24,0.4794,17.633301299996674,3
25,0.4843,17.49160040001152,3
26,0.4917,17.284057400014717,3
27,0.493,17.37008930000593,3
28,0.4972,17.437565999978688,3
29,0.5061,17.320865399989998,3
