round,acc,t_round_s,n_malicious
0,0.1384,20.280685500008985,3
1,0.1906,20.9039832999988,3
2,0.2362,21.71761880000122,3
3,0.2489,21.49540819998947,3
4,0.2591,21.36018009998952,3
5,0.2873,21.841306400019675,3
6,0.3023,20.79388840001775,3
7,0.3198,21.420634099980816,3
8,0.3432,21.46267990002525,3
9,0.3688,21.682942499988712,3
10,0.3802,23.606815000006463,3
11,0.395,24.09323480000603,3
12,0.3981,24.093031500000507,3
13,0.4066,26.72573599999305,3
14,0.4078,26.452477099985117,3
15,0.4276,24.972213900007773,3
16,0.4309,26.30782280000858,3
17,0.4401,26.351921800000127,3
18,0.4475,25.854249900003197,3
19,0.4542,26.47102789999917,3
20,0.4582,26.543446299998323,3
21,0.462,26.430083099985495,3
22,0.4689,25.550215499999467,3
23,0.4733,25.760613999998895,3
24,0.4742,25.81404850000399,3
25,0.4842,25.798744899977464,3
26,0.4871,25.440528000006452,3
27,0.4938,26.135981400002493,3
28,0.4975,26.55329189999611,3
29,0.506,26.054342100018403,3
