round,acc,t_round_s,n_malicious
0,0.116,15.771933700001682,3
1,0.1975,15.600958900002297,3
2,0.2677,15.726292999999714,3
3,0.2825,15.295844899999793,3
4,0.3037,15.429652799997712,3
5,0.3271,15.65586469999107,3
6,0.3494,15.579380800001672,3
7,0.3814,15.439654400004656,3
8,0.3936,15.388211700003012,3
9,0.4138,15.70010159999947,3
10,0.4263,15.6255225000059,3
11,0.4347,15.25928450000356,3
12,0.4434,15.252849700002116,3
13,0.4497,15.645982999994885,3
14,0.4572,15.681660899994313,3
15,0.4702,15.221621699995012,3
16,0.4725,15.8018493999989,3
17,0.4809,15.942892299994128,3
18,0.4868,15.674422299998696,3
19,0.4947,15.327684700008831,3
20,0.4968,15.492063500001677,3
21,0.5049,15.895784599997569,3
22,0.5103,15.592712600002415,3
23,0.5122,15.23207509999338,3
24,0.5186,15.63459739999962,3
25,0.5196,15.850561600003857,3
26,0.5226,15.62696870000218,3
27,0.5281,15.409580000006827,3
28,0.5328,15.547420699993381,3
29,0.5326,15.766257399998722,3
